date,요일,샤인마스캇_거래량(kg),샤인마스캇_가격(원/kg),샤인마스캇_거래량의_1주전_평균,샤인마스캇_가격의_1주전_평균,샤인마스캇_거래량의_2주전_평균,샤인마스캇_가격의_2주전_평균,계절
2016-02-06,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-07,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-08,월요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-09,화요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-10,수요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-11,목요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-12,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-13,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-14,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-15,월요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-16,화요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-17,수요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-18,목요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-19,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-20,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-21,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-22,월요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-23,화요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-24,수요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-25,목요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-26,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-27,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-28,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-29,월요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-03-01,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-02,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-03,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-04,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-05,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-06,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-07,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-08,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-09,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-10,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-11,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-12,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-13,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-14,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-15,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-16,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-17,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-18,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-19,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-20,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-21,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-22,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-23,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-24,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-25,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-26,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-27,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-28,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-29,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-30,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-03-31,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-02,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-04,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-05,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-06,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-07,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-08,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-09,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-11,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-12,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-13,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-14,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-15,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-16,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-17,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-18,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-19,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-20,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-21,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-22,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-23,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-24,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-25,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-26,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-27,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-28,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-29,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-04-30,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-01,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-02,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-03,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-04,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-05,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-06,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-07,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-08,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-09,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-10,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-11,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-12,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-13,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-14,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-15,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-16,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-17,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-18,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-19,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-20,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-21,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-22,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-23,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-24,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-25,수요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-26,목요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-27,금요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-28,토요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-29,일요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-30,월요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-05-31,화요일,0.0,0.0,0.0,0.0,0.0,0.0,1
2016-06-01,수요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-02,목요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-03,금요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-04,토요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-05,일요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-06,월요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-07,화요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-08,수요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-09,목요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-10,금요일,60.0,16500.0,0.0,0.0,0.0,0.0,2
2016-06-11,토요일,160.0,16500.0,0.0,0.0,0.0,0.0,2
2016-06-12,일요일,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-13,월요일,180.0,16500.0,110.0,16500.0,110.0,16500.0,2
2016-06-14,화요일,76.0,16500.0,110.0,16500.0,110.0,16500.0,2
2016-06-15,수요일,106.0,16500.0,110.0,16500.0,110.0,16500.0,2
2016-06-16,목요일,160.0,14000.0,110.0,16500.0,110.0,16500.0,2
2016-06-17,금요일,0.0,0.0,110.0,16500.0,110.0,16500.0,2
2016-06-18,토요일,0.0,0.0,110.0,16500.0,110.0,16500.0,2
2016-06-19,일요일,0.0,0.0,110.0,16500.0,110.0,16500.0,2
2016-06-20,월요일,160.0,15000.0,130.5,15875.0,123.66666666666667,16083.333333333334,2
2016-06-21,화요일,234.0,12466.0,130.5,15875.0,123.66666666666667,16083.333333333334,2
2016-06-22,수요일,380.0,11553.0,130.5,15875.0,123.66666666666667,16083.333333333334,2
2016-06-23,목요일,276.0,11826.0,130.5,15875.0,123.66666666666667,16083.333333333334,2
2016-06-24,금요일,316.0,10785.0,130.5,15875.0,123.66666666666667,16083.333333333334,2
2016-06-25,토요일,392.0,9788.0,130.5,15875.0,123.66666666666667,16083.333333333334,2
2016-06-26,일요일,0.0,0.0,130.5,15875.0,123.66666666666667,16083.333333333334,2
2016-06-27,월요일,280.0,11500.0,293.0,11903.0,228.0,13491.8,2
2016-06-28,화요일,322.0,12363.0,293.0,11903.0,228.0,13491.8,2
2016-06-29,수요일,392.0,9296.0,293.0,11903.0,228.0,13491.8,2
2016-06-30,목요일,432.0,9685.0,293.0,11903.0,228.0,13491.8,2
2016-07-01,금요일,104.0,7500.0,293.0,11903.0,228.0,13491.8,2
2016-07-02,토요일,0.0,0.0,293.0,11903.0,228.0,13491.8,2
2016-07-03,일요일,0.0,0.0,293.0,11903.0,228.0,13491.8,2
2016-07-04,월요일,0.0,0.0,306.0,10068.8,298.90909090909093,11069.272727272728,2
2016-07-05,화요일,116.0,8810.0,306.0,10068.8,298.90909090909093,11069.272727272728,2
2016-07-06,수요일,0.0,0.0,306.0,10068.8,298.90909090909093,11069.272727272728,2
2016-07-07,목요일,94.0,8500.0,306.0,10068.8,298.90909090909093,11069.272727272728,2
2016-07-08,금요일,60.0,9500.0,306.0,10068.8,298.90909090909093,11069.272727272728,2
2016-07-09,토요일,136.0,8912.0,306.0,10068.8,298.90909090909093,11069.272727272728,2
2016-07-10,일요일,0.0,0.0,306.0,10068.8,298.90909090909093,11069.272727272728,2
2016-07-11,월요일,184.0,9370.0,101.5,8930.5,215.11111111111111,9562.888888888889,2
2016-07-12,화요일,378.0,8984.0,101.5,8930.5,215.11111111111111,9562.888888888889,2
2016-07-13,수요일,90.0,7000.0,101.5,8930.5,215.11111111111111,9562.888888888889,2
2016-07-14,목요일,148.0,8311.0,101.5,8930.5,215.11111111111111,9562.888888888889,2
2016-07-15,금요일,520.0,9644.0,101.5,8930.5,215.11111111111111,9562.888888888889,2
2016-07-16,토요일,0.0,0.0,101.5,8930.5,215.11111111111111,9562.888888888889,2
2016-07-17,일요일,0.0,0.0,101.5,8930.5,215.11111111111111,9562.888888888889,2
2016-07-18,월요일,454.0,10194.0,264.0,8661.8,191.77777777777777,8781.222222222223,2
2016-07-19,화요일,590.0,10305.0,264.0,8661.8,191.77777777777777,8781.222222222223,2
2016-07-20,수요일,780.0,9281.0,264.0,8661.8,191.77777777777777,8781.222222222223,2
2016-07-21,목요일,590.0,9156.0,264.0,8661.8,191.77777777777777,8781.222222222223,2
2016-07-22,금요일,200.0,10195.0,264.0,8661.8,191.77777777777777,8781.222222222223,2
2016-07-23,토요일,158.0,8000.0,264.0,8661.8,191.77777777777777,8781.222222222223,2
2016-07-24,일요일,0.0,0.0,264.0,8661.8,191.77777777777777,8781.222222222223,2
2016-07-25,월요일,270.0,10000.0,462.0,9521.833333333334,372.0,9130.90909090909,2
2016-07-26,화요일,888.0,9312.0,462.0,9521.833333333334,372.0,9130.90909090909,2
2016-07-27,수요일,400.0,8400.0,462.0,9521.833333333334,372.0,9130.90909090909,2
2016-07-28,목요일,332.0,9584.0,462.0,9521.833333333334,372.0,9130.90909090909,2
2016-07-29,금요일,986.0,8911.0,462.0,9521.833333333334,372.0,9130.90909090909,2
2016-07-30,토요일,274.0,6934.0,462.0,9521.833333333334,372.0,9130.90909090909,2
2016-07-31,일요일,0.0,0.0,462.0,9521.833333333334,372.0,9130.90909090909,2
2016-08-01,월요일,1450.0,9217.0,525.0,8856.833333333334,493.5,9189.333333333334,2
2016-08-02,화요일,440.0,9409.0,525.0,8856.833333333334,493.5,9189.333333333334,2
2016-08-03,수요일,568.0,7380.0,525.0,8856.833333333334,493.5,9189.333333333334,2
2016-08-04,목요일,1114.0,7161.0,525.0,8856.833333333334,493.5,9189.333333333334,2
2016-08-05,금요일,302.0,5712.0,525.0,8856.833333333334,493.5,9189.333333333334,2
2016-08-06,토요일,0.0,0.0,525.0,8856.833333333334,493.5,9189.333333333334,2
2016-08-07,일요일,0.0,0.0,525.0,8856.833333333334,493.5,9189.333333333334,2
2016-08-08,월요일,1122.0,8143.0,774.8,7775.8,638.5454545454545,8365.454545454546,2
2016-08-09,화요일,758.0,8385.0,774.8,7775.8,638.5454545454545,8365.454545454546,2
2016-08-10,수요일,724.0,9254.0,774.8,7775.8,638.5454545454545,8365.454545454546,2
2016-08-11,목요일,826.0,8592.0,774.8,7775.8,638.5454545454545,8365.454545454546,2
2016-08-12,금요일,986.0,8142.0,774.8,7775.8,638.5454545454545,8365.454545454546,2
2016-08-13,토요일,970.0,7856.0,774.8,7775.8,638.5454545454545,8365.454545454546,2
2016-08-14,일요일,0.0,0.0,774.8,7775.8,638.5454545454545,8365.454545454546,2
2016-08-15,월요일,1060.0,8579.0,897.6666666666666,8395.333333333334,841.8181818181819,8113.727272727273,2
2016-08-16,화요일,1248.0,7798.0,897.6666666666666,8395.333333333334,841.8181818181819,8113.727272727273,2
2016-08-17,수요일,1452.0,8007.0,897.6666666666666,8395.333333333334,841.8181818181819,8113.727272727273,2
2016-08-18,목요일,1510.0,7079.0,897.6666666666666,8395.333333333334,841.8181818181819,8113.727272727273,2
2016-08-19,금요일,1420.0,6942.0,897.6666666666666,8395.333333333334,841.8181818181819,8113.727272727273,2
2016-08-20,토요일,832.0,6404.0,897.6666666666666,8395.333333333334,841.8181818181819,8113.727272727273,2
2016-08-21,일요일,0.0,0.0,897.6666666666666,8395.333333333334,841.8181818181819,8113.727272727273,2
2016-08-22,월요일,1010.0,8097.0,1253.6666666666667,7468.166666666667,1075.6666666666667,7931.75,2
2016-08-23,화요일,804.0,6938.0,1253.6666666666667,7468.166666666667,1075.6666666666667,7931.75,2
2016-08-24,수요일,1098.0,7156.0,1253.6666666666667,7468.166666666667,1075.6666666666667,7931.75,2
2016-08-25,목요일,1508.0,7508.0,1253.6666666666667,7468.166666666667,1075.6666666666667,7931.75,2
2016-08-26,금요일,1646.0,7550.0,1253.6666666666667,7468.166666666667,1075.6666666666667,7931.75,2
2016-08-27,토요일,1504.0,7073.0,1253.6666666666667,7468.166666666667,1075.6666666666667,7931.75,2
2016-08-28,일요일,0.0,0.0,1253.6666666666667,7468.166666666667,1075.6666666666667,7931.75,2
2016-08-29,월요일,872.0,9654.0,1261.6666666666667,7387.0,1257.6666666666667,7427.583333333333,2
2016-08-30,화요일,1384.0,8966.0,1261.6666666666667,7387.0,1257.6666666666667,7427.583333333333,2
2016-08-31,수요일,1362.0,9605.0,1261.6666666666667,7387.0,1257.6666666666667,7427.583333333333,2
2016-09-01,목요일,1722.0,8052.0,1261.6666666666667,7387.0,1257.6666666666667,7427.583333333333,3
2016-09-02,금요일,1848.0,6590.0,1261.6666666666667,7387.0,1257.6666666666667,7427.583333333333,3
2016-09-03,토요일,2040.0,7559.0,1261.6666666666667,7387.0,1257.6666666666667,7427.583333333333,3
2016-09-04,일요일,0.0,0.0,1261.6666666666667,7387.0,1257.6666666666667,7427.583333333333,3
2016-09-05,월요일,2330.0,7300.0,1538.0,8404.333333333334,1399.8333333333333,7895.666666666667,3
2016-09-06,화요일,2420.0,7598.0,1538.0,8404.333333333334,1399.8333333333333,7895.666666666667,3
2016-09-07,수요일,2120.0,6596.0,1538.0,8404.333333333334,1399.8333333333333,7895.666666666667,3
2016-09-08,목요일,1472.0,5522.0,1538.0,8404.333333333334,1399.8333333333333,7895.666666666667,3
2016-09-09,금요일,1208.0,5668.0,1538.0,8404.333333333334,1399.8333333333333,7895.666666666667,3
2016-09-10,토요일,2524.0,5982.0,1538.0,8404.333333333334,1399.8333333333333,7895.666666666667,3
2016-09-11,일요일,0.0,0.0,1538.0,8404.333333333334,1399.8333333333333,7895.666666666667,3
2016-09-12,월요일,4122.0,6993.0,2012.3333333333333,6444.333333333333,1775.1666666666667,7424.333333333333,3
2016-09-13,화요일,2848.0,7091.0,2012.3333333333333,6444.333333333333,1775.1666666666667,7424.333333333333,3
2016-09-14,수요일,448.0,8585.0,2012.3333333333333,6444.333333333333,1775.1666666666667,7424.333333333333,3
2016-09-15,목요일,0.0,0.0,2012.3333333333333,6444.333333333333,1775.1666666666667,7424.333333333333,3
2016-09-16,금요일,0.0,0.0,2012.3333333333333,6444.333333333333,1775.1666666666667,7424.333333333333,3
2016-09-17,토요일,0.0,0.0,2012.3333333333333,6444.333333333333,1775.1666666666667,7424.333333333333,3
2016-09-18,일요일,0.0,0.0,2012.3333333333333,6444.333333333333,1775.1666666666667,7424.333333333333,3
2016-09-19,월요일,984.0,8982.0,2472.6666666666665,7556.333333333333,2165.777777777778,6815.0,3
2016-09-20,화요일,1628.0,7781.0,2472.6666666666665,7556.333333333333,2165.777777777778,6815.0,3
2016-09-21,수요일,2310.0,7056.0,2472.6666666666665,7556.333333333333,2165.777777777778,6815.0,3
2016-09-22,목요일,2306.0,7136.0,2472.6666666666665,7556.333333333333,2165.777777777778,6815.0,3
2016-09-23,금요일,2086.0,6863.0,2472.6666666666665,7556.333333333333,2165.777777777778,6815.0,3
2016-09-24,토요일,1960.0,6819.0,2472.6666666666665,7556.333333333333,2165.777777777778,6815.0,3
2016-09-25,일요일,0.0,0.0,2472.6666666666665,7556.333333333333,2165.777777777778,6815.0,3
2016-09-26,월요일,1434.0,5614.0,1879.0,7439.5,2076.8888888888887,7478.444444444444,3
2016-09-27,화요일,1568.0,7354.0,1879.0,7439.5,2076.8888888888887,7478.444444444444,3
2016-09-28,수요일,1288.0,6316.0,1879.0,7439.5,2076.8888888888887,7478.444444444444,3
2016-09-29,목요일,1576.0,6760.0,1879.0,7439.5,2076.8888888888887,7478.444444444444,3
2016-09-30,금요일,458.0,8900.0,1879.0,7439.5,2076.8888888888887,7478.444444444444,3
2016-10-01,토요일,954.0,8087.0,1879.0,7439.5,2076.8888888888887,7478.444444444444,3
2016-10-02,일요일,0.0,0.0,1879.0,7439.5,2076.8888888888887,7478.444444444444,3
2016-10-03,월요일,860.0,8395.0,1213.0,7171.833333333333,1546.0,7305.666666666667,3
2016-10-04,화요일,1549.0,8374.0,1213.0,7171.833333333333,1546.0,7305.666666666667,3
2016-10-05,수요일,1758.0,8384.0,1213.0,7171.833333333333,1546.0,7305.666666666667,3
2016-10-06,목요일,1378.0,8592.0,1213.0,7171.833333333333,1546.0,7305.666666666667,3
2016-10-07,금요일,1868.0,7716.0,1213.0,7171.833333333333,1546.0,7305.666666666667,3
2016-10-08,토요일,1874.0,6987.0,1213.0,7171.833333333333,1546.0,7305.666666666667,3
2016-10-09,일요일,0.0,0.0,1213.0,7171.833333333333,1546.0,7305.666666666667,3
2016-10-10,월요일,1294.0,8442.0,1547.8333333333333,8074.666666666667,1380.4166666666667,7623.25,3
2016-10-11,화요일,1564.0,8262.0,1547.8333333333333,8074.666666666667,1380.4166666666667,7623.25,3
2016-10-12,수요일,904.0,9217.0,1547.8333333333333,8074.666666666667,1380.4166666666667,7623.25,3
2016-10-13,목요일,1986.0,7476.0,1547.8333333333333,8074.666666666667,1380.4166666666667,7623.25,3
2016-10-14,금요일,1528.0,9361.0,1547.8333333333333,8074.666666666667,1380.4166666666667,7623.25,3
2016-10-15,토요일,2624.0,7309.0,1547.8333333333333,8074.666666666667,1380.4166666666667,7623.25,3
2016-10-16,일요일,0.0,0.0,1547.8333333333333,8074.666666666667,1380.4166666666667,7623.25,3
2016-10-17,월요일,1948.0,7689.0,1650.0,8344.5,1598.9166666666667,8209.583333333334,3
2016-10-18,화요일,1872.0,7763.0,1650.0,8344.5,1598.9166666666667,8209.583333333334,3
2016-10-19,수요일,1470.0,7675.0,1650.0,8344.5,1598.9166666666667,8209.583333333334,3
2016-10-20,목요일,1882.0,8050.0,1650.0,8344.5,1598.9166666666667,8209.583333333334,3
2016-10-21,금요일,1420.0,8169.0,1650.0,8344.5,1598.9166666666667,8209.583333333334,3
2016-10-22,토요일,1784.0,7423.0,1650.0,8344.5,1598.9166666666667,8209.583333333334,3
2016-10-23,일요일,0.0,0.0,1650.0,8344.5,1598.9166666666667,8209.583333333334,3
2016-10-24,월요일,1280.0,8434.0,1729.3333333333333,7794.833333333333,1689.6666666666667,8069.666666666667,3
2016-10-25,화요일,1910.0,7440.0,1729.3333333333333,7794.833333333333,1689.6666666666667,8069.666666666667,3
2016-10-26,수요일,1388.0,7363.0,1729.3333333333333,7794.833333333333,1689.6666666666667,8069.666666666667,3
2016-10-27,목요일,2316.0,6130.0,1729.3333333333333,7794.833333333333,1689.6666666666667,8069.666666666667,3
2016-10-28,금요일,996.0,8620.0,1729.3333333333333,7794.833333333333,1689.6666666666667,8069.666666666667,3
2016-10-29,토요일,1696.0,7627.0,1729.3333333333333,7794.833333333333,1689.6666666666667,8069.666666666667,3
2016-10-30,일요일,0.0,0.0,1729.3333333333333,7794.833333333333,1689.6666666666667,8069.666666666667,3
2016-10-31,월요일,1164.0,8547.0,1597.6666666666667,7602.333333333333,1663.5,7698.583333333333,3
2016-11-01,화요일,882.0,8759.0,1597.6666666666667,7602.333333333333,1663.5,7698.583333333333,3
2016-11-02,수요일,738.0,8218.0,1597.6666666666667,7602.333333333333,1663.5,7698.583333333333,3
2016-11-03,목요일,1014.0,7534.0,1597.6666666666667,7602.333333333333,1663.5,7698.583333333333,3
2016-11-04,금요일,630.0,8456.0,1597.6666666666667,7602.333333333333,1663.5,7698.583333333333,3
2016-11-05,토요일,656.0,8064.0,1597.6666666666667,7602.333333333333,1663.5,7698.583333333333,3
2016-11-06,일요일,0.0,0.0,1597.6666666666667,7602.333333333333,1663.5,7698.583333333333,3
2016-11-07,월요일,856.0,9638.0,847.3333333333334,8263.0,1222.5,7932.666666666667,3
2016-11-08,화요일,766.0,9868.0,847.3333333333334,8263.0,1222.5,7932.666666666667,3
2016-11-09,수요일,766.0,10158.0,847.3333333333334,8263.0,1222.5,7932.666666666667,3
2016-11-10,목요일,790.0,10723.0,847.3333333333334,8263.0,1222.5,7932.666666666667,3
2016-11-11,금요일,1000.0,10391.0,847.3333333333334,8263.0,1222.5,7932.666666666667,3
2016-11-12,토요일,1048.0,11413.0,847.3333333333334,8263.0,1222.5,7932.666666666667,3
2016-11-13,일요일,0.0,0.0,847.3333333333334,8263.0,1222.5,7932.666666666667,3
2016-11-14,월요일,842.0,12043.0,871.0,10365.166666666666,859.1666666666666,9314.083333333334,3
