date,요일,토마토_거래량(kg),토마토_가격(원/kg),소비자물가지수,고급휘발유,보통휘발유,자동차용경유,실내등유,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
2016-02-23,화요일,232827.0,2690.0,95.64,1712.79,1344.25,1091.84,757.13,7.9,12.8,3.9,6.5,0.0,8.9
2016-02-24,수요일,226304.6,2750.0,95.64,1711.37,1343.66,1091.53,756.88,3.0,8.4,-0.5,5.3,0.0,8.9
2016-02-25,목요일,215021.5,2852.0,95.64,1711.97,1343.08,1090.86,756.48,3.1,8.8,-2.1,0.0,0.0,10.9
2016-02-26,금요일,274837.5,2796.0,95.64,1712.72,1342.29,1090.25,756.38,6.1,10.6,1.3,4.9,0.0,9.3
2016-02-27,토요일,272901.5,2771.0,95.64,1711.58,1341.76,1089.49,755.98,10.6,15.6,7.4,2.6,0.0,8.2
2016-02-28,일요일,0.0,0.0,95.64,1710.64,1341.4,1088.76,755.66,10.1,15.2,6.5,4.6,0.7,8.7
2016-02-29,월요일,324991.5,2925.0,95.64,1710.52,1341.37,1089.29,753.96,1.1,6.7,-2.5,2.6,0.0,9.2
2016-03-01,화요일,229064.5,2762.0,95.393,1710.14,1340.74,1088.41,753.14,1.4,7.7,-4.3,0.0,0.0,12.0
2016-03-02,수요일,272724.5,3054.0,95.393,1709.96,1340.27,1088.33,752.69,6.3,11.4,0.1,0.0,0.0,11.3
2016-03-03,목요일,211138.0,3179.0,95.393,1709.56,1340.13,1088.29,751.73,11.4,17.2,5.9,1.3,0.0,11.3
2016-03-04,금요일,309472.0,3147.0,95.393,1709.38,1339.83,1088.06,751.34,11.5,12.4,10.6,10.0,35.7,1.8000000000000007
2016-03-05,토요일,246464.5,3207.0,95.393,1709.42,1339.72,1087.84,751.09,13.7,16.4,10.5,10.0,1.6,5.899999999999999
2016-03-06,일요일,0.0,0.0,95.393,1710.23,1339.69,1087.61,750.87,13.3,17.1,11.7,8.6,32.7,5.400000000000002
2016-03-07,월요일,336665.5,3375.0,95.393,1710.84,1339.72,1088.15,750.87,11.4,16.2,7.8,0.5,0.0,8.399999999999999
2016-03-08,화요일,298651.0,3467.0,95.393,1714.22,1340.13,1089.14,751.53,9.6,13.4,5.1,9.8,6.6,8.3
2016-03-09,수요일,300282.0,3511.0,95.393,1713.47,1341.06,1090.68,751.76,6.9,13.4,2.6,6.5,13.6,10.8
2016-03-10,목요일,228806.5,3581.0,95.393,1713.65,1341.53,1091.69,751.95,5.6,10.8,2.1,4.8,0.0,8.700000000000001
2016-03-11,금요일,326143.5,3649.0,95.393,1711.74,1342.6,1093.17,751.89,3.5,10.0,-0.8,0.0,0.0,10.8
2016-03-12,토요일,329735.5,3408.0,95.393,1712.91,1343.85,1094.88,752.31,5.1,10.3,0.7,2.1,0.0,9.6
2016-03-13,일요일,0.0,0.0,95.393,1713.24,1344.49,1095.27,752.59,7.6,10.7,5.2,9.5,0.0,5.499999999999999
2016-03-14,월요일,435010.0,3387.0,95.393,1712.36,1345.83,1097.75,753.32,7.7,14.3,4.1,2.3,0.0,10.2
2016-03-15,화요일,275206.5,3285.0,95.393,1720.01,1348.46,1100.78,754.36,8.2,12.3,3.2,3.3,0.0,9.1
2016-03-16,수요일,307135.0,3351.0,95.393,1722.41,1350.27,1103.27,755.55,11.2,16.2,7.3,4.1,0.0,8.899999999999999
2016-03-17,목요일,240015.5,3541.0,95.393,1722.7,1351.52,1105.22,756.51,12.6,16.9,7.8,3.6,0.0,9.099999999999998
2016-03-18,금요일,364836.5,3415.0,95.393,1722.64,1352.76,1106.8,757.34,12.7,13.4,11.5,9.5,38.7,1.9000000000000004
2016-03-19,토요일,313877.5,3426.0,95.393,1722.79,1354.35,1108.79,757.94,13.3,19.4,10.4,2.8,0.0,8.999999999999998
2016-03-20,일요일,0.0,0.0,95.393,1723.22,1355.09,1109.41,758.22,10.6,14.2,8.6,7.9,0.0,5.6
2016-03-21,월요일,504512.0,3507.0,95.393,1724.71,1356.32,1111.73,758.47,10.2,14.8,7.3,2.4,0.0,7.500000000000001
2016-03-22,화요일,350913.5,3367.0,95.393,1729.33,1357.61,1113.6,758.92,12.3,16.8,7.1,2.9,0.0,9.7
2016-03-23,수요일,407406.5,3362.0,95.393,1728.36,1358.65,1115.2,759.17,11.0,15.1,8.2,6.4,0.0,6.9
2016-03-24,목요일,280143.0,3351.0,95.393,1729.42,1359.53,1116.67,759.88,8.6,13.5,5.4,6.6,0.0,8.1
2016-03-25,금요일,484269.5,3364.0,95.393,1728.09,1360.12,1117.54,760.32,8.1,11.7,6.3,7.9,0.0,5.4
2016-03-26,토요일,438444.5,3181.0,95.393,1728.65,1360.72,1118.37,761.25,7.4,11.1,5.6,6.0,4.6,5.5
2016-03-27,일요일,0.0,0.0,95.393,1728.16,1361.01,1118.52,761.39,9.5,16.2,4.3,1.6,0.0,11.9
2016-03-28,월요일,548128.5,3286.0,95.393,1724.29,1361.44,1119.62,761.54,11.8,18.3,6.7,0.0,0.0,11.6
2016-03-29,화요일,356070.0,3146.0,95.393,1722.4,1361.96,1120.38,761.86,13.3,16.3,10.1,5.1,0.0,6.200000000000001
2016-03-30,수요일,430672.0,3051.0,95.393,1721.5,1362.26,1121.01,761.55,15.0,19.6,12.4,4.4,0.0,7.200000000000001
2016-03-31,목요일,280306.0,3267.0,95.393,1723.93,1362.41,1121.35,761.56,14.8,19.3,11.1,4.5,0.0,8.200000000000001
2016-04-01,금요일,522224.5,3314.0,95.573,1722.59,1362.75,1121.92,761.46,16.1,22.0,11.0,0.0,0.0,11.0
2016-04-02,토요일,474467.2,3345.0,95.573,1723.15,1362.9,1121.94,761.49,15.1,18.8,11.4,4.3,0.0,7.4
2016-04-03,일요일,0.0,0.0,95.573,1723.02,1362.81,1121.64,761.4,14.2,18.0,11.5,9.8,0.9,6.5
2016-04-04,월요일,676335.5,3143.0,95.573,1720.92,1362.84,1122.02,761.49,11.7,13.6,10.5,9.5,3.8,3.1
2016-04-05,화요일,431787.0,3030.0,95.573,1721.91,1362.58,1121.99,760.97,14.3,19.5,10.8,3.6,0.0,8.7
2016-04-06,수요일,477505.5,2952.0,95.573,1721.87,1362.4,1121.95,760.93,14.8,20.9,11.0,7.6,18.2,9.9
2016-04-07,목요일,377200.5,3039.0,95.573,1720.69,1362.24,1121.66,760.82,12.7,16.5,11.4,7.9,47.4,5.1
2016-04-08,금요일,499678.5,2883.0,95.573,1721.37,1362.09,1121.62,760.71,16.5,21.7,12.4,3.4,0.0,9.3
2016-04-09,토요일,523529.0,2798.0,95.573,1718.74,1361.78,1121.14,760.66,17.2,22.6,13.1,4.0,0.0,9.500000000000002
2016-04-10,일요일,0.0,0.0,95.573,1718.81,1361.75,1120.64,760.06,15.6,18.9,11.3,5.1,0.0,7.599999999999998
2016-04-11,월요일,763936.5,2760.0,95.573,1721.66,1361.61,1121.04,760.07,10.5,14.0,9.1,7.0,0.0,4.9
2016-04-12,화요일,506673.0,2678.0,95.573,1720.35,1361.38,1120.72,759.62,12.5,15.9,8.0,7.1,0.0,7.9
2016-04-13,수요일,554563.5,2602.0,95.573,1720.66,1361.19,1120.38,759.17,14.6,16.0,14.0,9.5,14.8,2.0
2016-04-14,목요일,448851.5,2767.0,95.573,1719.04,1361.15,1120.72,758.93,17.4,21.4,13.2,0.9,0.0,8.2
2016-04-15,금요일,618690.5,2609.0,95.573,1718.52,1361.3,1120.93,758.51,14.6,18.1,11.5,0.4,0.0,6.600000000000001
2016-04-16,토요일,626927.5,2386.0,95.573,1718.89,1361.59,1120.85,758.68,15.0,19.2,10.5,8.1,36.6,8.7
2016-04-17,일요일,0.0,0.0,95.573,1717.04,1361.59,1120.65,758.8,16.5,20.9,13.4,3.1,8.0,7.499999999999998
2016-04-18,월요일,890490.0,2315.0,95.573,1717.84,1361.44,1121.16,758.89,15.2,19.2,12.9,5.5,0.0,6.299999999999999
2016-04-19,화요일,596073.0,2210.0,95.573,1718.85,1361.56,1121.43,759.1,14.9,19.9,12.5,0.0,0.0,7.399999999999999
2016-04-20,수요일,750502.0,2053.0,95.573,1719.51,1361.42,1121.3,758.81,15.4,20.5,11.2,5.3,0.0,9.3
2016-04-21,목요일,518048.0,2048.0,95.573,1720.98,1361.3,1121.0,759.1,15.5,18.4,14.0,7.8,31.8,4.399999999999999
2016-04-22,금요일,681802.0,1972.0,95.573,1720.61,1361.23,1121.24,758.84,16.9,22.9,13.7,2.8,0.0,9.2
2016-04-23,토요일,702121.0,1877.0,95.573,1721.68,1361.25,1121.06,758.59,16.7,18.9,14.8,9.5,0.0,4.099999999999998
2016-04-24,일요일,0.0,0.0,95.573,1722.25,1361.21,1120.64,758.11,16.5,21.8,13.4,3.3,0.0,8.4
2016-04-25,월요일,984044.5,1837.0,95.573,1721.09,1361.16,1121.18,758.17,16.9,22.5,12.2,2.6,0.0,10.3
2016-04-26,화요일,607570.6,1771.0,95.573,1720.17,1361.03,1121.39,757.74,17.5,24.2,12.2,5.4,1.6,12.0
2016-04-27,수요일,665574.0,1779.0,95.573,1720.54,1360.93,1121.33,757.15,12.0,13.5,11.0,10.0,32.1,2.5
2016-04-28,목요일,387392.5,1902.0,95.573,1720.23,1361.33,1121.62,757.5,13.3,16.1,11.1,9.3,3.3,5.000000000000002
2016-04-29,금요일,661421.0,1905.0,95.573,1720.2,1361.77,1122.5,757.84,15.2,18.9,11.5,2.4,0.0,7.399999999999999
2016-04-30,토요일,712838.0,1889.0,95.573,1721.78,1362.67,1123.1,757.86,16.7,20.9,12.8,0.3,0.0,8.099999999999998
2016-05-01,일요일,0.0,0.0,95.63,1720.88,1363.29,1123.54,757.59,18.5,22.7,14.4,0.4,0.0,8.299999999999999
2016-05-02,월요일,1110618.9,1712.0,95.63,1719.76,1363.37,1123.58,757.48,19.9,24.2,15.7,6.6,0.0,8.5
2016-05-03,화요일,627278.5,1683.0,95.63,1731.48,1367.44,1128.24,758.24,16.4,19.5,14.4,5.6,40.7,5.1
2016-05-04,수요일,853887.5,1540.0,95.63,1734.13,1369.3,1130.45,759.29,19.8,26.0,14.1,0.0,0.0,11.9
2016-05-05,목요일,653190.5,1623.0,95.63,1736.94,1371.12,1132.32,760.04,19.0,25.0,14.3,6.1,0.0,10.7
2016-05-06,금요일,792737.0,1501.0,95.63,1736.74,1372.22,1133.6,759.98,17.3,19.2,15.9,9.0,4.7,3.299999999999999
2016-05-07,토요일,891489.6,1388.0,95.63,1736.67,1373.11,1134.67,759.69,20.0,25.2,16.1,4.1,0.0,9.099999999999998
2016-05-08,일요일,0.0,0.0,95.63,1735.09,1373.62,1134.92,759.6,19.2,23.1,16.2,6.5,0.0,6.900000000000002
2016-05-09,월요일,1279843.5,1298.0,95.63,1736.77,1374.28,1136.36,759.51,18.6,22.3,16.1,10.0,0.0,6.199999999999999
2016-05-10,화요일,736026.0,1238.0,95.63,1735.72,1375.3,1137.6,760.0,15.1,17.2,13.1,10.0,22.3,4.1
2016-05-11,수요일,914507.0,1193.0,95.63,1736.28,1376.37,1138.9,760.12,15.1,18.7,13.2,5.5,0.0,5.5
2016-05-12,목요일,610492.5,1350.0,95.63,1739.78,1378.2,1141.13,760.87,18.3,23.5,13.7,0.0,0.0,9.8
2016-05-13,금요일,836482.0,1305.0,95.63,1740.53,1380.08,1144.06,761.13,17.7,21.7,14.9,4.8,0.0,6.799999999999999
2016-05-14,토요일,775276.0,1224.0,95.63,1740.42,1381.95,1146.51,761.23,16.9,21.3,13.1,1.5,0.0,8.200000000000001
2016-05-15,일요일,0.0,0.0,95.63,1741.42,1382.69,1147.53,761.47,19.0,23.1,14.2,8.0,0.0,8.900000000000002
2016-05-16,월요일,1100692.0,1175.0,95.63,1741.46,1384.07,1149.99,761.97,15.6,20.0,11.5,5.6,14.5,8.5
2016-05-17,화요일,643182.0,1196.0,95.63,1745.23,1386.72,1154.25,763.2,18.6,25.3,12.7,0.0,0.0,12.6
2016-05-18,수요일,763024.0,1230.0,95.63,1747.72,1389.21,1158.47,764.06,20.2,26.8,14.7,1.4,0.0,12.1
2016-05-19,목요일,627377.0,1231.0,95.63,1750.56,1391.74,1162.42,764.51,20.5,25.5,15.2,3.6,0.0,10.3
2016-05-20,금요일,648140.5,1285.0,95.63,1751.5,1394.34,1166.9,765.33,20.7,25.5,16.8,1.4,0.0,8.7
2016-05-21,토요일,612243.0,1299.0,95.63,1753.16,1396.84,1170.37,765.66,21.0,26.0,16.6,5.1,0.0,9.4
2016-05-22,일요일,0.0,0.0,95.63,1753.68,1398.06,1171.85,766.22,20.9,26.0,17.1,2.4,0.0,8.899999999999999
2016-05-23,월요일,1070729.0,1289.0,95.63,1753.27,1399.86,1175.31,767.47,19.5,24.4,15.7,3.8,0.0,8.7
2016-05-24,화요일,630627.0,1282.0,95.63,1763.73,1404.27,1180.74,768.68,19.3,20.7,18.5,9.5,24.7,2.1999999999999997
2016-05-25,수요일,792942.5,1299.0,95.63,1768.84,1407.38,1185.69,769.8,19.9,23.8,16.4,1.9,0.0,7.400000000000002
2016-05-26,목요일,736285.0,1261.0,95.63,1773.33,1410.44,1189.97,770.98,22.1,26.0,17.9,5.9,0.0,8.100000000000001
2016-05-27,금요일,938888.5,1264.0,95.63,1774.13,1413.54,1194.28,772.15,23.0,26.7,20.8,7.4,0.0,5.899999999999999
2016-05-28,토요일,880013.0,1175.0,95.63,1775.16,1415.85,1197.22,773.34,21.0,24.1,19.2,5.8,0.0,4.900000000000002
2016-05-29,일요일,0.0,0.0,95.63,1775.46,1416.79,1198.23,774.2,20.0,25.4,17.9,5.0,1.9,7.5
2016-05-30,월요일,1268227.5,1095.0,95.63,1775.98,1418.34,1201.06,775.44,22.4,26.6,19.3,0.4,0.0,7.300000000000001
2016-05-31,화요일,735350.0,1061.0,95.63,1778.66,1420.46,1204.04,776.31,23.8,30.5,17.8,4.4,0.0,12.7
2016-06-01,수요일,958567.6,1032.0,95.611,1780.62,1424.12,1208.59,777.94,20.7,23.6,17.3,3.3,0.0,6.300000000000001
2016-06-02,목요일,702672.0,1040.0,95.611,1782.14,1425.85,1210.95,779.38,19.8,24.0,15.7,0.8,0.0,8.3
2016-06-03,금요일,905995.0,1012.0,95.611,1783.01,1427.54,1213.04,780.38,21.1,25.7,16.8,3.3,0.0,8.899999999999999
2016-06-04,토요일,877463.5,978.0,95.611,1783.73,1429.27,1214.69,781.21,19.7,23.8,16.6,9.6,6.6,7.199999999999999
2016-06-05,일요일,0.0,0.0,95.611,1783.62,1430.04,1215.32,781.93,20.6,25.1,17.1,7.6,0.0,8.0
2016-06-06,월요일,1257390.0,923.0,95.611,1785.29,1430.79,1216.25,782.76,19.3,20.4,18.3,10.0,3.1,2.099999999999998
2016-06-07,화요일,956047.0,904.0,95.611,1785.92,1431.82,1218.19,783.5,20.9,25.4,18.8,6.5,0.0,6.599999999999998
2016-06-08,수요일,923107.0,885.0,95.611,1784.88,1433.14,1219.88,784.73,20.4,22.2,18.8,9.5,0.0,3.3999999999999986
2016-06-09,목요일,791338.0,889.0,95.611,1784.21,1434.56,1221.61,785.56,21.9,26.1,19.6,8.4,0.0,6.5
2016-06-10,금요일,828798.0,888.0,95.611,1785.11,1435.99,1223.24,786.37,22.3,25.3,20.1,3.1,0.0,5.199999999999999
2016-06-11,토요일,787140.0,846.0,95.611,1784.29,1437.02,1224.36,786.83,23.1,26.6,20.1,5.8,0.0,6.5
2016-06-12,일요일,0.0,0.0,95.611,1782.73,1437.52,1224.67,786.92,22.4,24.1,21.1,8.9,8.6,3.0
2016-06-13,월요일,1263436.8,820.0,95.611,1784.31,1438.34,1226.12,787.68,21.9,25.7,20.4,7.8,0.0,5.300000000000001
2016-06-14,화요일,752335.0,824.0,95.611,1785.61,1439.75,1227.97,788.57,21.1,24.2,20.1,7.4,0.0,4.099999999999998
2016-06-15,수요일,850726.0,830.0,95.611,1786.35,1440.58,1228.8,789.3,22.4,24.2,19.9,8.6,0.0,4.300000000000001
2016-06-16,목요일,619060.0,866.0,95.611,1786.06,1441.06,1229.47,789.89,23.6,26.4,21.7,8.4,1.5,4.699999999999999
2016-06-17,금요일,787580.0,915.0,95.611,1785.04,1441.35,1229.96,790.81,22.9,28.6,19.3,1.0,0.0,9.3
2016-06-18,토요일,791740.0,886.0,95.611,1786.06,1441.47,1230.07,791.04,22.4,25.5,19.1,5.1,2.8,6.399999999999999
2016-06-19,일요일,0.0,0.0,95.611,1787.85,1441.66,1229.98,791.46,23.9,28.6,21.0,6.4,9.1,7.600000000000001
2016-06-20,월요일,1047043.0,874.0,95.611,1788.05,1441.74,1230.54,791.3,23.9,28.7,21.1,7.4,10.2,7.599999999999998
2016-06-21,화요일,613552.0,879.0,95.611,1785.87,1441.91,1230.52,791.84,22.4,24.6,21.2,9.9,3.1,3.400000000000002
2016-06-22,수요일,738225.0,855.0,95.611,1785.29,1442.11,1230.79,792.1,21.9,23.3,21.3,10.0,13.4,2.0
2016-06-23,목요일,662290.0,904.0,95.611,1785.05,1442.25,1231.15,792.1,23.5,26.6,20.6,4.3,0.0,6.0
2016-06-24,금요일,734321.0,865.0,95.611,1784.5,1442.36,1231.23,792.28,22.6,24.2,21.2,10.0,53.7,3.0
2016-06-25,토요일,789185.0,821.0,95.611,1783.9,1442.42,1231.34,792.02,22.7,25.7,20.6,5.0,0.0,5.099999999999998
2016-06-26,일요일,0.0,0.0,95.611,1783.71,1442.37,1231.16,792.46,23.3,28.6,19.6,0.3,0.0,9.0
2016-06-27,월요일,1117888.0,805.0,95.611,1784.78,1442.56,1231.78,792.7,20.5,23.4,19.3,8.8,0.2,4.099999999999998
2016-06-28,화요일,596606.0,808.0,95.611,1786.5,1442.54,1231.82,792.32,22.1,25.3,18.8,8.8,0.0,6.5
2016-06-29,수요일,600082.0,802.0,95.611,1786.59,1442.63,1232.03,792.05,21.8,25.1,20.1,8.5,2.9,5.0
2016-06-30,목요일,469738.0,860.0,95.611,1787.39,1442.66,1232.11,792.35,23.3,27.2,20.3,6.3,0.0,6.899999999999999
2016-07-01,금요일,568821.0,859.0,95.431,1787.0,1442.78,1232.32,792.3,23.0,24.0,22.2,9.3,31.9,1.8000000000000007
2016-07-02,토요일,489953.0,801.0,95.431,1787.67,1442.69,1232.08,791.81,23.1,24.4,21.7,10.0,44.4,2.6999999999999997
2016-07-03,일요일,0.0,0.0,95.431,1786.81,1442.7,1231.96,791.28,22.1,24.7,20.2,10.0,15.4,4.5
2016-07-04,월요일,760589.0,809.0,95.431,1786.72,1442.58,1232.22,791.26,21.0,22.1,20.4,10.0,62.5,1.7000000000000028
2016-07-05,화요일,430906.0,888.0,95.431,1785.06,1442.61,1232.2,791.31,23.5,26.1,20.0,9.8,1.0,6.100000000000001
2016-07-06,수요일,397576.0,940.0,95.431,1784.49,1442.32,1232.17,791.8,25.0,29.2,20.3,6.9,0.0,8.899999999999999
2016-07-07,목요일,386724.4,995.0,95.431,1783.62,1442.17,1232.05,791.84,23.7,27.6,19.5,4.8,0.1,8.100000000000001
2016-07-08,금요일,443744.0,1127.0,95.431,1784.08,1441.92,1231.97,791.89,24.9,30.4,23.1,7.6,0.0,7.299999999999997
2016-07-09,토요일,457896.0,1238.0,95.431,1784.98,1441.65,1231.63,792.37,25.6,29.0,22.6,1.9,0.0,6.399999999999999
2016-07-10,일요일,0.0,0.0,95.431,1785.36,1441.53,1231.39,792.4,25.4,29.3,23.1,7.6,0.0,6.199999999999999
2016-07-11,월요일,606203.0,1284.0,95.431,1785.37,1441.24,1231.47,792.62,24.7,27.0,23.5,10.0,14.7,3.5
2016-07-12,화요일,385661.0,1322.0,95.431,1783.1,1440.68,1231.22,792.48,24.0,25.2,22.5,9.9,6.3,2.6999999999999997
2016-07-13,수요일,465664.0,1373.0,95.431,1782.01,1440.31,1230.99,793.09,25.9,29.5,22.7,6.3,1.3,6.800000000000001
2016-07-14,목요일,513536.0,1292.0,95.431,1782.21,1439.83,1230.67,793.17,26.2,31.9,22.8,4.4,0.1,9.099999999999998
2016-07-15,금요일,540706.0,1292.0,95.431,1783.4,1439.19,1230.3,793.1,24.4,27.6,22.2,5.0,0.0,5.400000000000002
2016-07-16,토요일,531564.6,1087.0,95.431,1782.35,1438.53,1229.54,792.92,23.0,24.3,22.0,9.3,9.8,2.3000000000000007
