date,요일,캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),소비자물가지수,고급휘발유,보통휘발유,자동차용경유,실내등유,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
2016-01-22,금요일,1632.0,1848.0,95.232,1752.71,1374.76,1140.8,794.09,-5.5,0.5,-12.4,0.0,0.0,12.9
2016-01-23,토요일,164.0,1707.0,95.232,1752.23,1373.35,1137.97,791.49,-7.2,-4.4,-11.0,0.0,0.0,6.6
2016-01-24,일요일,0.0,0.0,95.232,1749.5,1372.69,1136.39,789.87,-11.2,-8.2,-13.1,0.0,7.5,4.9
2016-01-25,월요일,934.8,3415.0,95.232,1750.08,1371.97,1135.33,789.82,-8.6,-1.0,-17.0,0.0,0.0,16.0
2016-01-26,화요일,533.0,3415.0,95.232,1747.4,1370.04,1131.93,786.53,-2.2,2.5,-6.9,0.0,0.0,9.4
2016-01-27,수요일,1151.8,2674.0,95.232,1745.75,1368.42,1128.92,784.35,-0.9,6.6,-5.1,0.0,0.0,11.7
2016-01-28,목요일,3906.0,843.0,95.232,1744.07,1366.94,1126.12,782.8,0.8,3.3,-3.8,0.0,8.5,7.1
2016-01-29,금요일,2873.8,3369.0,95.232,1741.31,1365.79,1124.11,781.19,3.9,5.0,2.6,0.0,6.5,2.4
2016-01-30,토요일,934.8,3316.0,95.232,1741.36,1364.86,1122.4,779.78,3.2,8.3,-0.9,0.0,0.0,9.2
2016-01-31,일요일,0.0,0.0,95.232,1740.05,1364.37,1120.97,778.88,-1.5,2.5,-4.0,0.0,0.0,6.5
2016-02-01,월요일,1409.8,3429.0,95.64,1735.31,1363.04,1118.75,777.67,-3.5,1.3,-6.8,0.0,0.0,8.1
2016-02-02,화요일,2298.8,2628.0,95.64,1733.68,1362.19,1117.02,775.91,-4.1,2.4,-9.6,0.0,0.0,12.0
2016-02-03,수요일,2261.0,4920.0,95.64,1734.87,1361.18,1115.02,774.5,-2.7,5.0,-9.1,0.0,0.0,14.1
2016-02-04,목요일,4883.6,3642.0,95.64,1734.59,1360.25,1113.01,773.08,-1.6,5.5,-7.6,0.0,0.0,13.1
2016-02-05,금요일,164.0,5854.0,95.64,1733.9,1359.75,1111.98,771.95,-1.7,5.3,-7.1,0.0,0.0,12.4
2016-02-06,토요일,1619.8,2357.0,95.64,1734.08,1359.05,1110.29,771.05,-2.2,2.6,-6.3,0.0,0.0,8.9
2016-02-07,일요일,0.0,0.0,95.64,1735.11,1358.65,1109.39,770.26,-3.4,5.3,-10.0,0.0,0.0,15.3
2016-02-08,월요일,0.0,0.0,95.64,1733.51,1358.5,1109.05,770.06,1.4,7.6,-7.3,0.0,0.0,14.9
2016-02-09,화요일,0.0,0.0,95.64,1730.38,1358.41,1108.73,769.43,1.6,7.1,-3.3,0.0,0.0,10.4
2016-02-10,수요일,0.0,0.0,95.64,1727.58,1358.06,1108.27,768.75,2.5,13.2,-6.0,0.0,0.0,19.2
2016-02-11,목요일,0.0,0.0,95.64,1727.48,1356.99,1107.26,767.72,8.7,17.1,-0.6,0.0,0.0,17.700000000000003
2016-02-12,금요일,2156.6,3581.0,95.64,1725.91,1355.48,1104.71,767.0,11.7,13.4,8.1,0.0,25.0,5.300000000000001
2016-02-13,토요일,4098.6,4754.0,95.64,1725.33,1354.01,1102.64,765.77,14.3,20.5,9.9,0.0,8.0,10.6
2016-02-14,일요일,0.0,0.0,95.64,1726.28,1353.17,1101.51,765.24,0.0,9.9,-3.5,0.0,1.0,13.4
2016-02-15,월요일,934.8,3376.0,95.64,1725.34,1352.28,1100.93,764.67,-3.2,-0.1,-5.8,0.0,0.0,5.7
2016-02-16,화요일,2902.8,5450.0,95.64,1720.43,1350.34,1098.49,762.99,-0.5,2.4,-3.5,0.0,1.0,5.9
2016-02-17,수요일,918.4,3356.0,95.64,1718.39,1348.76,1096.73,761.74,0.3,6.3,-4.2,0.0,0.5,10.5
2016-02-18,목요일,500.2,5518.0,95.64,1717.46,1347.55,1095.22,759.12,2.1,10.2,-4.2,0.0,0.0,14.4
2016-02-19,금요일,2804.4,3320.0,95.64,1715.9,1346.59,1094.2,758.41,4.2,11.2,-1.8,0.0,0.0,13.0
2016-02-20,토요일,124.0,4359.0,95.64,1715.64,1345.74,1093.17,758.13,2.8,10.0,-2.2,0.0,0.0,12.2
2016-02-21,일요일,0.0,0.0,95.64,1713.38,1345.43,1092.36,757.66,-0.1,5.8,-5.6,0.0,0.0,11.4
2016-02-22,월요일,3567.0,4779.0,95.64,1712.49,1344.98,1092.17,757.38,2.1,6.0,-2.3,0.0,0.0,8.3
2016-02-23,화요일,934.8,3421.0,95.64,1712.79,1344.25,1091.84,757.13,2.7,8.9,-2.0,0.0,0.0,10.9
2016-02-24,수요일,1902.4,4904.0,95.64,1711.37,1343.66,1091.53,756.88,-2.1,2.5,-5.3,0.0,0.0,7.8
2016-02-25,목요일,934.8,3314.0,95.64,1711.97,1343.08,1090.86,756.48,-1.6,6.3,-7.9,0.0,0.0,14.2
2016-02-26,금요일,2115.6,3529.0,95.64,1712.72,1342.29,1090.25,756.38,0.2,4.6,-5.0,0.0,0.5,9.6
2016-02-27,토요일,3542.4,4128.0,95.64,1711.58,1341.76,1089.49,755.98,6.2,12.8,0.3,0.0,0.0,12.5
2016-02-28,일요일,0.0,0.0,95.64,1710.64,1341.4,1088.76,755.66,4.7,13.4,0.5,0.0,9.0,12.9
2016-02-29,월요일,164.0,6098.0,95.64,1710.52,1341.37,1089.29,753.96,-3.0,0.6,-6.9,0.0,3.5,7.5
2016-03-01,화요일,1672.8,4843.0,95.393,1710.14,1340.74,1088.41,753.14,-2.7,3.8,-9.4,0.0,0.0,13.2
2016-03-02,수요일,1369.4,4534.0,95.393,1709.96,1340.27,1088.33,752.69,1.8,11.0,-6.2,0.0,0.0,17.2
2016-03-03,목요일,1544.2,4482.0,95.393,1709.56,1340.13,1088.29,751.73,6.9,17.2,-2.8,0.0,0.0,20.0
2016-03-04,금요일,1066.0,3818.0,95.393,1709.38,1339.83,1088.06,751.34,9.4,11.1,5.9,0.0,32.5,5.199999999999999
2016-03-05,토요일,2730.6,4439.0,95.393,1709.42,1339.72,1087.84,751.09,13.7,16.4,9.4,0.0,30.0,6.999999999999998
2016-03-06,일요일,0.0,0.0,95.393,1710.23,1339.69,1087.61,750.87,11.5,17.9,5.1,0.0,0.0,12.8
2016-03-07,월요일,934.8,3617.0,95.393,1710.84,1339.72,1088.15,750.87,10.3,18.0,2.8,0.0,0.0,15.2
2016-03-08,화요일,2197.6,3998.0,95.393,1714.22,1340.13,1089.14,751.53,6.1,10.3,1.9,0.0,4.5,8.4
2016-03-09,수요일,1869.6,3598.0,95.393,1713.47,1341.06,1090.68,751.76,3.2,8.4,0.2,0.0,0.0,8.200000000000001
2016-03-10,목요일,2214.0,6445.0,95.393,1713.65,1341.53,1091.69,751.95,0.5,5.3,-2.2,0.0,0.0,7.5
2016-03-11,금요일,2009.0,4073.0,95.393,1711.74,1342.6,1093.17,751.89,-0.3,5.2,-4.9,0.0,0.0,10.1
2016-03-12,토요일,0.0,0.0,95.393,1712.91,1343.85,1094.88,752.31,1.9,9.8,-6.0,0.0,0.0,15.8
2016-03-13,일요일,0.0,0.0,95.393,1713.24,1344.49,1095.27,752.59,3.6,8.8,0.0,0.0,0.0,8.8
2016-03-14,월요일,467.4,3902.0,95.393,1712.36,1345.83,1097.75,753.32,3.2,9.4,-2.9,0.0,0.0,12.3
2016-03-15,화요일,934.8,4024.0,95.393,1720.01,1348.46,1100.78,754.36,5.6,16.0,-3.8,0.0,0.0,19.8
2016-03-16,수요일,2156.6,4698.0,95.393,1722.41,1350.27,1103.27,755.55,7.9,17.7,2.6,0.0,0.0,15.1
2016-03-17,목요일,4229.8,5071.0,95.393,1722.7,1351.52,1105.22,756.51,9.6,19.2,-1.6,0.0,0.0,20.8
2016-03-18,금요일,2755.2,4115.0,95.393,1722.64,1352.76,1106.8,757.34,11.6,14.5,9.0,0.0,5.5,5.5
2016-03-19,토요일,2599.2,6314.0,95.393,1722.79,1354.35,1108.79,757.94,10.3,18.7,4.2,0.0,0.0,14.5
2016-03-20,일요일,0.0,0.0,95.393,1723.22,1355.09,1109.41,758.22,9.2,16.8,1.0,0.0,0.0,15.8
2016-03-21,월요일,917.8,4127.0,95.393,1724.71,1356.32,1111.73,758.47,9.3,17.2,2.8,0.0,0.0,14.4
2016-03-22,화요일,98.4,5620.0,95.393,1729.33,1357.61,1113.6,758.92,8.5,18.1,-0.4,0.0,0.0,18.5
2016-03-23,수요일,1722.4,4414.0,95.393,1728.36,1358.65,1115.2,759.17,7.4,14.5,2.9,0.0,0.0,11.6
2016-03-24,목요일,7429.2,5269.0,95.393,1729.42,1359.53,1116.67,759.88,5.5,14.1,-2.0,0.0,0.0,16.1
2016-03-25,금요일,1321.0,5915.0,95.393,1728.09,1360.12,1117.54,760.32,5.5,12.7,-1.0,0.0,0.0,13.7
2016-03-26,토요일,147.6,6341.0,95.393,1728.65,1360.72,1118.37,761.25,4.8,11.8,-2.5,0.0,0.0,14.3
2016-03-27,일요일,0.0,0.0,95.393,1728.16,1361.01,1118.52,761.39,5.5,13.6,-1.8,0.0,0.0,15.4
2016-03-28,월요일,836.4,6215.0,95.393,1724.29,1361.44,1119.62,761.54,8.2,17.9,-2.5,0.0,0.0,20.4
2016-03-29,화요일,3159.0,5816.0,95.393,1722.4,1361.96,1120.38,761.86,10.2,17.1,1.6,0.0,0.0,15.500000000000002
2016-03-30,수요일,1918.8,5307.0,95.393,1721.5,1362.26,1121.01,761.55,13.4,22.3,5.7,0.0,0.0,16.6
2016-03-31,목요일,2952.0,4818.0,95.393,1723.93,1362.41,1121.35,761.56,12.5,22.1,3.9,0.0,0.0,18.200000000000003
2016-04-01,금요일,1804.0,5837.0,95.573,1722.59,1362.75,1121.92,761.46,13.8,25.1,3.8,0.0,0.0,21.3
2016-04-02,토요일,738.0,5512.0,95.573,1723.15,1362.9,1121.94,761.49,14.9,22.9,5.4,0.0,0.0,17.5
2016-04-03,일요일,0.0,0.0,95.573,1723.02,1362.81,1121.64,761.4,11.8,14.1,8.4,0.0,14.0,5.699999999999999
2016-04-04,월요일,2648.6,4811.0,95.573,1720.92,1362.84,1122.02,761.49,12.4,14.4,10.8,0.0,1.0,3.6
2016-04-05,화요일,0.0,0.0,95.573,1721.91,1362.58,1121.99,760.97,11.9,19.9,5.1,0.0,0.0,14.8
2016-04-06,수요일,5608.8,5096.0,95.573,1721.87,1362.4,1121.95,760.93,10.9,21.0,4.2,0.0,33.0,16.8
2016-04-07,목요일,2870.0,4356.0,95.573,1720.69,1362.24,1121.66,760.82,12.0,16.0,8.8,0.0,24.5,7.199999999999999
2016-04-08,금요일,6010.6,4568.0,95.573,1721.37,1362.09,1121.62,760.71,13.8,23.3,7.1,0.0,0.0,16.200000000000003
2016-04-09,토요일,369.0,4824.0,95.573,1718.74,1361.78,1121.14,760.66,15.5,24.2,6.6,0.0,0.0,17.6
2016-04-10,일요일,0.0,0.0,95.573,1718.81,1361.75,1120.64,760.06,15.9,24.4,6.8,0.0,0.0,17.599999999999998
2016-04-11,월요일,4280.4,4601.0,95.573,1721.66,1361.61,1121.04,760.07,13.6,20.4,8.4,0.0,0.0,11.999999999999998
2016-04-12,화요일,1476.0,3625.0,95.573,1720.35,1361.38,1120.72,759.62,14.2,21.4,7.1,0.0,0.0,14.3
2016-04-13,수요일,1968.0,5074.0,95.573,1720.66,1361.19,1120.38,759.17,16.1,20.7,12.7,0.0,8.5,8.0
2016-04-14,목요일,2296.0,3496.0,95.573,1719.04,1361.15,1120.72,758.93,16.3,23.7,9.7,0.0,0.0,14.0
2016-04-15,금요일,8651.0,4574.0,95.573,1718.52,1361.3,1120.93,758.51,14.6,24.2,4.8,0.0,0.0,19.4
2016-04-16,토요일,3304.6,4444.0,95.573,1718.89,1361.59,1120.85,758.68,15.0,19.3,7.8,0.0,11.5,11.5
2016-04-17,일요일,0.0,0.0,95.573,1717.04,1361.59,1120.65,758.8,12.0,18.8,8.9,0.0,5.5,9.9
2016-04-18,월요일,4510.0,4272.0,95.573,1717.84,1361.44,1121.16,758.89,12.6,18.0,6.8,0.0,0.0,11.2
2016-04-19,화요일,6240.2,3983.0,95.573,1718.85,1361.56,1121.43,759.1,12.5,20.3,4.7,0.0,0.0,15.6
2016-04-20,수요일,4698.6,3477.0,95.573,1719.51,1361.42,1121.3,758.81,14.5,20.4,6.8,0.0,0.1,13.599999999999998
2016-04-21,목요일,5633.6,3919.0,95.573,1720.98,1361.3,1121.0,759.1,14.2,16.3,11.9,0.0,33.4,4.4
2016-04-22,금요일,2517.4,3461.0,95.573,1720.61,1361.23,1121.24,758.84,18.0,25.4,10.8,0.0,0.0,14.599999999999998
2016-04-23,토요일,2870.0,3853.0,95.573,1721.68,1361.25,1121.06,758.59,16.5,21.3,13.0,0.0,0.0,8.3
2016-04-24,일요일,0.0,0.0,95.573,1722.25,1361.21,1120.64,758.11,15.8,24.7,7.5,0.0,0.0,17.2
2016-04-25,월요일,3739.2,3397.0,95.573,1721.09,1361.16,1121.18,758.17,16.7,27.3,8.1,0.0,0.0,19.200000000000003
2016-04-26,화요일,4206.6,3794.0,95.573,1720.17,1361.03,1121.39,757.74,17.7,27.2,8.7,0.0,3.6,18.5
2016-04-27,수요일,7368.0,3592.0,95.573,1720.54,1360.93,1121.33,757.15,12.9,15.8,11.9,0.0,25.8,3.9
2016-04-28,목요일,1730.2,3738.0,95.573,1720.23,1361.33,1121.62,757.5,13.7,19.6,9.4,0.0,4.5,10.2
2016-04-29,금요일,3435.8,3299.0,95.573,1720.2,1361.77,1122.5,757.84,14.2,22.2,7.0,0.0,0.0,15.2
2016-04-30,토요일,8184.4,2728.0,95.573,1721.78,1362.67,1123.1,757.86,16.0,25.6,6.2,0.0,0.0,19.4
2016-05-01,일요일,0.0,0.0,95.63,1720.88,1363.29,1123.54,757.59,17.5,27.9,8.2,0.0,0.0,19.7
2016-05-02,월요일,25.0,25000.0,95.63,1719.76,1363.37,1123.58,757.48,18.3,25.0,10.1,0.0,0.7,14.9
2016-05-03,화요일,3993.4,3845.0,95.63,1731.48,1367.44,1128.24,758.24,15.4,19.7,12.3,0.0,10.7,7.399999999999999
2016-05-04,수요일,3427.2,3170.0,95.63,1734.13,1369.3,1130.45,759.29,15.2,23.2,7.8,0.0,0.0,15.4
2016-05-05,목요일,3885.8,2583.0,95.63,1736.94,1371.12,1132.32,760.04,17.4,26.7,6.3,0.0,0.1,20.4
2016-05-06,금요일,1772.0,5328.0,95.63,1736.74,1372.22,1133.6,759.98,20.4,25.9,15.1,0.0,0.1,10.8
2016-05-07,토요일,3658.8,3530.0,95.63,1736.67,1373.11,1134.67,759.69,16.3,22.9,10.6,0.0,0.0,12.3
2016-05-08,일요일,0.0,0.0,95.63,1735.09,1373.62,1134.92,759.6,17.3,25.5,7.3,0.0,0.0,18.2
2016-05-09,월요일,3747.6,3471.0,95.63,1736.77,1374.28,1136.36,759.51,17.5,21.3,14.7,0.0,0.0,6.600000000000001
2016-05-10,화요일,1988.6,5176.0,95.63,1735.72,1375.3,1137.6,760.0,14.2,16.2,13.0,0.0,22.0,3.2
2016-05-11,수요일,2634.2,4046.0,95.63,1736.28,1376.37,1138.9,760.12,17.1,22.9,12.5,0.0,0.2,10.4
2016-05-12,목요일,2023.6,3735.0,95.63,1739.78,1378.2,1141.13,760.87,18.9,25.9,12.8,0.0,0.0,13.099999999999998
2016-05-13,금요일,0.0,0.0,95.63,1740.53,1380.08,1144.06,761.13,17.0,22.9,12.9,0.0,0.0,9.999999999999998
2016-05-14,토요일,2995.6,4181.0,95.63,1740.42,1381.95,1146.51,761.23,19.1,26.4,13.3,0.0,0.0,13.099999999999998
2016-05-15,일요일,0.0,0.0,95.63,1741.42,1382.69,1147.53,761.47,18.6,23.3,12.2,0.0,10.6,11.1
2016-05-16,월요일,1834.8,3770.0,95.63,1741.46,1384.07,1149.99,761.97,13.6,20.8,8.4,0.0,17.4,12.4
2016-05-17,화요일,4476.0,4408.0,95.63,1745.23,1386.72,1154.25,763.2,17.0,27.2,5.9,0.0,0.0,21.3
2016-05-18,수요일,2556.8,4422.0,95.63,1747.72,1389.21,1158.47,764.06,20.6,31.1,10.3,0.0,0.0,20.8
2016-05-19,목요일,2374.6,4049.0,95.63,1750.56,1391.74,1162.42,764.51,19.9,28.2,12.4,0.0,0.0,15.8
2016-05-20,금요일,2349.2,5399.0,95.63,1751.5,1394.34,1166.9,765.33,20.2,29.2,10.0,0.0,0.0,19.2
2016-05-21,토요일,1568.0,6383.0,95.63,1753.16,1396.84,1170.37,765.66,21.1,28.7,13.6,0.0,0.0,15.1
2016-05-22,일요일,0.0,0.0,95.63,1753.68,1398.06,1171.85,766.22,21.3,29.1,13.5,0.0,0.0,15.6
2016-05-23,월요일,4229.6,4925.0,95.63,1753.27,1399.86,1175.31,767.47,21.8,28.8,13.2,0.0,0.0,15.6
2016-05-24,화요일,3780.4,4782.0,95.63,1763.73,1404.27,1180.74,768.68,17.7,21.7,13.7,0.0,26.6,8.0
2016-05-25,수요일,5290.4,4376.0,95.63,1768.84,1407.38,1185.69,769.8,18.4,26.4,11.9,0.0,0.0,14.499999999999998
2016-05-26,목요일,2241.6,8046.0,95.63,1773.33,1410.44,1189.97,770.98,20.7,27.4,13.7,0.0,0.0,13.7
2016-05-27,금요일,7768.0,3529.0,95.63,1774.13,1413.54,1194.28,772.15,22.8,28.9,17.6,0.0,0.0,11.299999999999995
2016-05-28,토요일,2154.0,9177.0,95.63,1775.16,1415.85,1197.22,773.34,20.7,26.8,16.7,0.0,0.0,10.1
2016-05-29,일요일,0.0,0.0,95.63,1775.46,1416.79,1198.23,774.2,19.4,26.4,15.7,0.0,1.8,10.7
2016-05-30,월요일,2076.0,8161.0,95.63,1775.98,1418.34,1201.06,775.44,20.8,29.0,12.4,0.0,0.0,16.6
2016-05-31,화요일,2747.6,7882.0,95.63,1778.66,1420.46,1204.04,776.31,21.1,27.7,13.5,0.0,0.0,14.2
2016-06-01,수요일,2614.2,4232.0,95.611,1780.62,1424.12,1208.59,777.94,21.9,27.4,15.8,0.0,0.0,11.599999999999998
2016-06-02,목요일,5352.4,4374.0,95.611,1782.14,1425.85,1210.95,779.38,21.5,28.7,14.1,0.0,0.0,14.6
2016-06-03,금요일,2446.0,6094.0,95.611,1783.01,1427.54,1213.04,780.38,21.6,28.4,14.0,0.0,0.0,14.4
2016-06-04,토요일,2690.0,7018.0,95.611,1783.73,1429.27,1214.69,781.21,17.4,20.0,14.5,0.0,11.6,5.5
2016-06-05,일요일,0.0,0.0,95.611,1783.62,1430.04,1215.32,781.93,21.3,27.2,13.4,0.0,0.0,13.8
2016-06-06,월요일,5592.0,7731.0,95.611,1785.29,1430.79,1216.25,782.76,19.6,22.1,18.2,0.0,0.3,3.900000000000002
2016-06-07,화요일,6967.2,5795.0,95.611,1785.92,1431.82,1218.19,783.5,21.4,26.2,18.1,0.0,0.0,8.099999999999998
2016-06-08,수요일,8009.4,5498.0,95.611,1784.88,1433.14,1219.88,784.73,21.8,25.4,18.8,0.0,0.0,6.599999999999998
2016-06-09,목요일,5894.0,6259.0,95.611,1784.21,1434.56,1221.61,785.56,22.9,29.8,17.2,0.0,0.0,12.6
2016-06-10,금요일,7463.0,6215.0,95.611,1785.11,1435.99,1223.24,786.37,23.4,29.2,18.0,0.0,0.0,11.2
2016-06-11,토요일,9019.0,5758.0,95.611,1784.29,1437.02,1224.36,786.83,23.5,28.6,19.2,0.0,0.0,9.400000000000002
2016-06-12,일요일,0.0,0.0,95.611,1782.73,1437.52,1224.67,786.92,22.8,25.4,20.6,0.0,0.4,4.799999999999997
2016-06-13,월요일,20172.2,5396.0,95.611,1784.31,1438.34,1226.12,787.68,24.0,30.3,20.0,0.0,0.0,10.3
2016-06-14,화요일,10280.8,5767.0,95.611,1785.61,1439.75,1227.97,788.57,23.3,29.8,18.4,0.0,0.0,11.400000000000002
2016-06-15,수요일,17830.0,5048.0,95.611,1786.35,1440.58,1228.8,789.3,21.5,25.1,18.0,0.0,13.8,7.100000000000001
2016-06-16,목요일,15719.0,5551.0,95.611,1786.06,1441.06,1229.47,789.89,21.6,25.1,17.3,0.0,0.0,7.800000000000001
2016-06-17,금요일,24278.6,5723.0,95.611,1785.04,1441.35,1229.96,790.81,22.7,29.9,15.7,0.0,0.0,14.2
2016-06-18,토요일,24475.0,5009.0,95.611,1786.06,1441.47,1230.07,791.04,23.6,30.1,17.2,0.0,0.4,12.900000000000002
2016-06-19,일요일,0.0,0.0,95.611,1787.85,1441.66,1229.98,791.46,24.8,30.4,20.6,0.0,0.0,9.799999999999995
2016-06-20,월요일,37790.8,5109.0,95.611,1788.05,1441.74,1230.54,791.3,21.9,25.4,17.8,0.0,6.3,7.599999999999998
2016-06-21,화요일,31599.0,4669.0,95.611,1785.87,1441.91,1230.52,791.84,24.6,30.1,20.4,0.0,0.2,9.700000000000005
2016-06-22,수요일,35522.0,4577.0,95.611,1785.29,1442.11,1230.79,792.1,22.2,24.6,20.2,0.0,4.9,4.400000000000002
2016-06-23,목요일,31278.0,4661.0,95.611,1785.05,1442.25,1231.15,792.1,24.8,30.9,19.5,0.0,0.0,11.4
2016-06-24,금요일,39499.0,4419.0,95.611,1784.5,1442.36,1231.23,792.28,21.6,24.8,18.7,0.0,41.5,6.100000000000001
2016-06-25,토요일,40064.0,4535.0,95.611,1783.9,1442.42,1231.34,792.02,22.3,27.5,18.3,0.0,0.0,9.2
2016-06-26,일요일,0.0,0.0,95.611,1783.71,1442.37,1231.16,792.46,22.1,29.2,17.0,0.0,0.0,12.2
2016-06-27,월요일,70080.8,4251.0,95.611,1784.78,1442.56,1231.78,792.7,21.1,26.1,15.7,0.0,0.0,10.400000000000002
2016-06-28,화요일,67237.0,3928.0,95.611,1786.5,1442.54,1231.82,792.32,22.2,26.4,18.1,0.0,0.0,8.299999999999997
2016-06-29,수요일,65455.0,3849.0,95.611,1786.59,1442.63,1232.03,792.05,22.4,26.0,18.8,0.0,0.3,7.199999999999999
2016-06-30,목요일,68813.0,3776.0,95.611,1787.39,1442.66,1232.11,792.35,24.3,30.1,20.7,0.0,0.0,9.400000000000002
2016-07-01,금요일,75722.5,3839.0,95.431,1787.0,1442.78,1232.32,792.3,24.8,28.5,22.8,0.0,31.9,5.699999999999999
2016-07-02,토요일,77128.0,3531.0,95.431,1787.67,1442.69,1232.08,791.81,23.2,26.1,21.8,0.0,42.0,4.300000000000001
2016-07-03,일요일,0.0,0.0,95.431,1786.81,1442.7,1231.96,791.28,21.6,23.5,19.9,0.0,46.1,3.6000000000000014
2016-07-04,월요일,95099.0,3577.0,95.431,1786.72,1442.58,1232.22,791.26,25.1,28.6,20.7,0.0,1.0,7.900000000000002
2016-07-05,화요일,77900.0,3545.0,95.431,1785.06,1442.61,1232.2,791.31,27.5,30.8,24.4,0.0,38.4,6.400000000000002
2016-07-06,수요일,102293.5,3411.0,95.431,1784.49,1442.32,1232.17,791.8,26.1,29.9,24.1,0.0,81.5,5.799999999999997
2016-07-07,목요일,104899.5,3556.0,95.431,1783.62,1442.17,1232.05,791.84,25.4,32.2,21.9,0.0,0.0,10.300000000000004
2016-07-08,금요일,143856.0,3615.0,95.431,1784.08,1441.92,1231.97,791.89,25.3,31.4,20.6,0.0,0.0,10.799999999999995
2016-07-09,토요일,150025.0,3657.0,95.431,1784.98,1441.65,1231.63,792.37,27.3,33.6,22.2,0.0,0.0,11.400000000000002
2016-07-10,일요일,0.0,0.0,95.431,1785.36,1441.53,1231.39,792.4,26.7,31.5,22.4,0.0,0.0,9.1
2016-07-11,월요일,179216.0,3799.0,95.431,1785.37,1441.24,1231.47,792.62,25.1,28.6,23.6,0.0,0.4,5.0
2016-07-12,화요일,157326.0,3623.0,95.431,1783.1,1440.68,1231.22,792.48,24.8,27.4,22.9,0.0,8.1,4.5
2016-07-13,수요일,125790.0,3823.0,95.431,1782.01,1440.31,1230.99,793.09,25.8,31.1,22.2,0.0,0.1,8.900000000000002
2016-07-14,목요일,146630.5,4014.0,95.431,1782.21,1439.83,1230.67,793.17,25.5,30.6,21.4,0.0,0.0,9.200000000000005
2016-07-15,금요일,156235.0,4168.0,95.431,1783.4,1439.19,1230.3,793.1,25.6,30.7,22.0,0.0,0.0,8.7
2016-07-16,토요일,178399.0,4224.0,95.431,1782.35,1438.53,1229.54,792.92,22.5,24.3,20.9,0.0,20.8,3.400000000000002
2016-07-17,일요일,0.0,0.0,95.431,1781.84,1438.33,1229.25,793.01,23.9,28.4,21.1,0.0,0.0,7.299999999999997
